score,metric,date,value,year,sentence,number
0.9225690364837646,arr,the fourth quarter of 2021,$638.0 million,2021,"•ended the fourth quarter of 2021 with annual recurring revenue of $638.0 million, a 30% increase from the fourth quarter of 2020.",638000000.0
0.9095728397369384,total number of customers,"december 31, 2021","7,936",2021,"we have increased our number of customers from 7,083 at december 31, 2020 to 7,936 at december 31, 2021",7936.0
0.9036241173744202,total number of customers,"december 31, 2020","7,083",2020,"we have increased our number of customers from 7,083 at december 31, 2020 to 7,936 at december 31, 2021",7083.0
0.6645792722702026,marketable securities,may and june 2018,$230.0 million,2018,"in may and june 2018, we sold $230.0 million aggregate principal amount of our 0.50% convertible senior notes due 2023, or the 2023 notes, including the initial purchasers’ exercise in full of their option to purchase an additional $30.0 million of the 2023 notes, in a private offering to qualified institutional buyers pursuant to rule 144a promulgated under the securities act of 1933, as amended, or the act",230000000.0
0.6310228705406189,total number of customers,"december 31, 2018","4,696",2018,"our customer base has grown from 4,696 customers as of december 31, 2018 to over 7,900 customers as of december 31, 2021 and cover a wide range of industries, including retail, food services, consumer products, telecom and cable, media and entertainment, professional services, financial services, energy and utilities, public sector, manufacturing, travel and hospitality, healthcare and insurance, and technology.",4696.0
0.6310228705406189,total number of customers,"december 31, 2021","7,900",2021,"our customer base has grown from 4,696 customers as of december 31, 2018 to over 7,900 customers as of december 31, 2021 and cover a wide range of industries, including retail, food services, consumer products, telecom and cable, media and entertainment, professional services, financial services, energy and utilities, public sector, manufacturing, travel and hospitality, healthcare and insurance, and technology.",7900.0
0.4646147489547729,marketable securities,"the years ended december 31, 2021, 2020",$9.2 million,2020,"interest income from our marketable securities was $2.4 million, $10.5 million, and $9.2 million for the years ended december 31, 2021, 2020, and 2019, respectively.",9200000.0
0.4627584218978882,debt to equity,"the year ended december 31, 2021",$29.6 million,2021,"for example, we currently anticipate that the guidance will result in the removal of the equity component related to our notes of $209.6 million; decrease our interest expense due to the removal of amortization component of the debt discount related to the equity component, which was $29.6 million for the year ended december 31, 2021; and increase our weighted-average shares used to compute diluted net income (loss) per share due to the elimination of the treasury stock method",29600000.0
0.461513489484787,arr,"the year ended december 31, 2021",$203.9 million,2021,"the company recognized subscription-based licenses and pcs and services revenue of $203.9 million and $332.2 million, respectively, for the year ended december 31, 2021",203900000.0
0.4142482578754425,total number of customers,"december 31, 2021","7,900",2021,"as of december 31, 2021, we had over 7,900 customers in more than 90 countries, including over 860 of the global 2000 companies",7900.0
0.3089336454868316,marketable securities,"december 31, 2021 and 2020",less than $1.9 million,2021,"we have determined that the gross unrealized losses of less than $1.9 million with respect to our available-for-sale securities as of both december 31, 2021 and 2020 were due to changes in market rates, and we have determined the losses were not related to credit losses",1900000.0
0.2636117935180664,marketable securities,"december 31, 2020",$972.3 million,2020,"we had $1.0 billion of cash and cash equivalents and short-term and long-term investments in marketable securities as of each of december 31, 2021 and december 31, 2020, with approximately $972.3 million and $1.0 billion, respectively, held domestically.",972300000.0
0.1444720774888992,marketable securities,"december 31, 2021 and",$1.0 billion,2021,"we had $1.0 billion of cash and cash equivalents and short-term and long-term investments in marketable securities as of each of december 31, 2021 and december 31, 2020, with approximately $972.3 million and $1.0 billion, respectively, held domestically.",1000000000.0
0.1030126884579658,total number of customers,"december 31, 2021",more than 90,2021,"as of december 31, 2021, we served customers in more than 90 countries, including over 860 of the global 2000 companies",90.0
