score,metric,date,value,year,sentence,number
0.8797465562820435,r&d value,fiscal 2022,$153.5 million,2022,"research and development expenses were $153.5 million in fiscal 2022 compared to $100.5 million in fiscal 2021, an increase of $53.0 million, or 53%",153500000.0
0.7824434041976929,arr,"fiscal 2022, 2021",$536.5 million,2021,"during fiscal 2022, 2021, and 2020, subscription revenue was $536.5 million, $408.2 million and $307.9 million, respectively, representing a year-over-year subscription revenue growth rate of 31% and 33% in fiscal 2022 and 2021, respectively",536500000.0
0.7692779898643494,arr,"january 31, 2022",$5.0 million,2022,"our top 25 customers by average annual recurring revenue as of january 31, 2022 had average annual recurring revenue of approximately $5.0 million, compared to the average annual recurring revenue represented by their initial purchase of approximately $0.4 million",5000000.0
0.7322841286659241,arr,fiscal 2022,$536.5 million,2022,"subscription revenue was $536.5 million, or 91% of total revenue, in fiscal 2022, compared to $408.2 million, or 91% of total revenue, in fiscal 2021",536500000.0
0.7322841286659241,arr,fiscal 2021,$408.2 million,2021,"subscription revenue was $536.5 million, or 91% of total revenue, in fiscal 2022, compared to $408.2 million, or 91% of total revenue, in fiscal 2021",408200000.0
0.6832563281059265,arr,2020,$307.9 million,2020,"during fiscal 2022, 2021, and 2020, subscription revenue was $536.5 million, $408.2 million and $307.9 million, respectively, representing a year-over-year subscription revenue growth rate of 31% and 33% in fiscal 2022 and 2021, respectively",307900000.0
0.6352677345275879,arpa,annual,$5.0 million,2022,"our top 25 customers by average annual recurring revenue as of january 31, 2022 had average annual recurring revenue of approximately $5.0 million, compared to the average annual recurring revenue represented by their initial purchase of approximately $0.4 million",5000000.0
0.6202417016029358,annualized billings,the last day of any fiscal quarter,$350.0 million,2021,"the credit agreement, as amended by the third amendment, includes affirmative and negative covenants, including financial covenants requiring the maintenance of: (1) minimum tangible net worth (defined as assets, excluding intangible assets, less liabilities) as of the last day of any fiscal quarter of not less than $150.0 million for any fiscal quarter ending on or prior to january 31, 2021 and $125.0 million for any fiscal quarter ending thereafter, and (2) minimum billings for the most recent twelve months ending as of the last day of any fiscal quarter of not less than $350.0 million",350000000.0
0.5825102925300598,sr,fiscal 2022 and 2021,$536.5 million,2022,"during fiscal 2022, 2021, and 2020, subscription revenue was $536.5 million, $408.2 million and $307.9 million, respectively, representing a year-over-year subscription revenue growth rate of 31% and 33% in fiscal 2022 and 2021, respectively",536500000.0
0.5534846186637878,annualized billings,fiscal quarter ending thereafter,$125.0 million,2022,"the credit agreement, as amended by the third amendment, includes affirmative and negative covenants, including financial covenants requiring the maintenance of: (1) minimum tangible net worth (defined as assets, excluding intangible assets, less liabilities) as of the last day of any fiscal quarter of not less than $150.0 million for any fiscal quarter ending on or prior to january 31, 2021 and $125.0 million for any fiscal quarter ending thereafter, and (2) minimum billings for the most recent twelve months ending as of the last day of any fiscal quarter of not less than $350.0 million",125000000.0
0.5357506275177002,arr,annual,"250,000",2022,"the number of customers with greater than $250,000 of annual recurring revenue was 555, 453, and 353 as of the end of fiscal 2022, 2021, and 2020, respectively",250000.0
0.5349609851837158,r&d value,"fiscal 2022, 2021",$2.3 million,2021,"the capitalized stock-based compensation expense relating to research and development expense was $5.6 million, $3.5 million, and $2.3 million during fiscal 2022, 2021, and 2020, respectively.",2300000.0
0.5164676904678345,arr,annual,"250,000",2022,"the number of customers with greater than $250,000 of annual recurring revenue was 555, 453 and 353 as of january 31, 2022, 2021, and 2020, respectively",250000.0
0.4868395924568176,arr,fiscal 2022,$99.0 million,2022,"cost of subscription revenue was $99.0 million in fiscal 2022 compared to $69.8 million in fiscal 2021, an increase of $29.2 million, or 42%",99000000.0
0.4687044322490692,total number of customers,"january 31, 2022,",555,2022,"the number of customers with greater than $250,000 of annual recurring revenue was 555, 453 and 353 as of january 31, 2022, 2021, and 2020, respectively",555.0
0.4687044322490692,total number of customers,2021,353,2021,"the number of customers with greater than $250,000 of annual recurring revenue was 555, 453 and 353 as of january 31, 2022, 2021, and 2020, respectively",353.0
0.4277042150497436,r&d value,fiscal 2021,$100.5 million,2021,"research and development expenses were $153.5 million in fiscal 2022 compared to $100.5 million in fiscal 2021, an increase of $53.0 million, or 53%",100500000.0
0.4152562022209167,annualized billings,fiscal quarter,less than $350.0 million,2022,"the credit agreement, as amended by the third amendment, includes affirmative and negative covenants, including financial covenants requiring the maintenance of: (1) minimum tangible net worth (defined as assets, excluding intangible assets, less liabilities) as of the last day of any fiscal quarter of not less than $150.0 million for any fiscal quarter ending on or prior to january 31, 2021 and $125.0 million for any fiscal quarter ending thereafter, and (2) minimum billings for the most recent twelve months ending as of the last day of any fiscal quarter of not less than $350.0 million",350000000.0
0.3820585906505584,total number of customers,"january 31, 2022","1,900",2022,"as of january 31, 2022, over 1,900 customers were using our platform",1900.0
0.3561000525951385,total number of customers,2020,353,2020,"the number of customers with greater than $250,000 of annual recurring revenue was 555, 453, and 353 as of the end of fiscal 2022, 2021, and 2020, respectively",353.0
0.3141191601753235,arr,fiscal 2021,$69.8 million,2021,"cost of subscription revenue was $99.0 million in fiscal 2022 compared to $69.8 million in fiscal 2021, an increase of $29.2 million, or 42%",69800000.0
0.3009399473667145,total number of customers,"january 31, 2022","1,900",2022,"as of january 31, 2022, we served over 1,900 customers in 56 countries.",1900.0
