score,metric,date,value,year,sentence,number
0.8744486570358276,cash on balance sheet,fiscal 2021,$12.0 billion,2021,"total cash, cash equivalents and marketable securities ended fiscal 2021 at $12.0 billion.",12000000000.0
0.8220334053039551,marketable securities,"january 31, 2020",$1.6 billion,2020,"the company's privately held debt and equity securities and equity method investments amounted to $1.8 billion as of january 31, 2021 and $1.6 billion as of january 31, 2020.",1600000000.0
0.8183826208114624,marketable securities,"january 31, 2020",$7.9 billion,2020,"at january 31, 2020, we had cash, cash equivalents and marketable securities totaling $7.9 billion",7900000000.0
0.7953559756278992,marketable securities,"january 31, 2021",$1.8 billion,2021,"the company's privately held debt and equity securities and equity method investments amounted to $1.8 billion as of january 31, 2021 and $1.6 billion as of january 31, 2020.",1800000000.0
0.7046427726745605,marketable securities,"january 31, 2021",$12.0 billion,2021,"we had cash, cash equivalents and marketable securities totaling $12.0 billion as of january 31, 2021",12000000000.0
0.6376091241836548,marketable securities,"january 31, 2021",$12.0 billion,2021,"at january 31, 2021, our principal sources of liquidity were cash, cash equivalents and marketable securities totaling $12.0 billion and accounts receivable of $7.8 billion",12000000000.0
0.5698539018630981,marketable securities,fiscal 2021,$1.7 billion,2021,net gains recognized during fiscal 2021 were primarily driven by unrealized gains recognized on publicly traded equity securities of $1.7 billion and realized gains on sales of equity securities of $0.4 billion.,1700000000.0
0.5355988144874573,marketable securities,fiscal 2020,$3.9 billion,2020,"the net cash used in investing activities during fiscal 2020 was primarily related to the purchases of marketable securities of $3.9 billion, offset by sales and maturities of marketable securities of $2.2 billion",3900000000.0
0.4570098221302032,marketable securities,fiscal 2021,$4.8 billion,2021,"the net cash used in investing activities during fiscal 2021 was primarily related to cash consideration for the acquisition of vlocity, net of cash acquired, of approximately $1.2 billion as well as purchases of marketable securities of $4.8 billion, partially offset by sales and maturities of marketable securities of $2.9 billion",4800000000.0
0.407088965177536,r&d value,fiscal 2022 through fiscal 2041,$778 million,2022,"at january 31, 2021, for federal income tax purposes, the company had net operating loss carryforwards of approximately $1.9 billion, which expire in fiscal 2022 through 2038 with the exception of post-2017 losses that do not expire, federal research and development tax credits of approximately $778 million, which expire in fiscal 2022 through fiscal 2041,",778000000.0
0.3852444887161255,marketable securities,fiscal 2021 and fiscal 2020,$0.9 billion,2021,"the cumulative net gain, measured as the sale price less the initial purchase price, for equity securities exited during fiscal 2021 and fiscal 2020 was $0.9 billion and $0.4 billion, respectively",900000000.0
0.2566843032836914,r&d value,fiscal 2022 through fiscal 2040,$437 million,2022,"for california income tax purposes, the company had net operating loss carryforwards of approximately $725 million which expire beginning in fiscal 2022 through fiscal 2040, california research and development tax credits of approximately $437 million, which do not expire",437000000.0
0.2313254326581955,marketable securities,fiscal 2021 and fiscal 2020,$125 million and $77 million,2021,"these include approximately $125 million and $77 million of impairments on privately held equity and debt securities in fiscal 2021 and fiscal 2020, respectively.",125000000.0
