score,metric,date,value,year,sentence,number
0.9526230692863464,total number of customers,2020,55,2020,our number of customers paying us in excess of $1 million of annual recurring revenue has grown from 48 at the end of 2019 to 55 at the end of 2020,55.0
0.7817580103874207,total number of customers,the end of 2019,48,2019,our number of customers paying us in excess of $1 million of annual recurring revenue has grown from 48 at the end of 2019 to 55 at the end of 2020,48.0
0.7663416862487793,marketable securities,"december 31, 2020",$109.8 million,2020,"as of december 31, 2020, we had $112.5 million of cash and cash equivalents and $109.8 million of short-term investments and marketable securities",109800000.0
0.642188310623169,arr,annual,$1 million,2021,our number of customers paying us in excess of $1 million of annual recurring revenue has grown from 48 at the end of 2019 to 55 at the end of 2020,1000000.0
0.6070807576179504,total number of customers,2018,378,2018,"our number of customers with active software subscription agreements was 654, 487, and 378 as of december 31, 2020, 2019, and 2018, respectively",378.0
0.4844012856483459,total number of customers,"december 31, 2020",2000,2020,"as of december 31, 2020, 25% of our commercial customers were global 2000 organizations, and 60 of our customers were fortune 500 companies",2000.0
0.4844012856483459,total number of customers,"december 31, 2020",2000,2020,"as of december 31, 2020, 25% of our commercial customers were global 2000 organizations, and 60 of our customers were fortune 500 companies",2000.0
0.4844012856483459,total number of customers,"december 31, 2020",2000,2020,"as of december 31, 2020, 25% of our commercial customers were global 2000 organizations, and 60 of our customers were fortune 500 companies",2000.0
0.4792274534702301,total number of customers,"december 31, 2020",693,2020,"as of december 31, 2020, we had 693 customers, of which 548 customers were commercial and 145 customers were government or non-commercial entities",693.0
0.4738573133945465,arr,2020,$67.4 million,2020,"our cloud subscription revenue was $129.2 million, $95.0 million, and $67.4 million in 2020, 2019, and 2018, respectively.",67400000.0
0.4738573133945465,sr,2019,$67.4 million,2019,"our cloud subscription revenue was $129.2 million, $95.0 million, and $67.4 million in 2020, 2019, and 2018, respectively.",67400000.0
0.437809944152832,total number of customers,"december 31, 2020",693,2020,"as of december 31, 2020, we had 693 customers in a variety of industries, of which 548 customers were commercial and 145 customers were government or non-commercial entities",693.0
0.4368613660335541,arr,2020,$37 billion,2020,"based on approximately 166,000 global companies and government institutions in relevant industries and revenue-based size segments as well as our industry- and size-specific average annual recurring revenue for customers as of december 31, 2020, we internally estimate our market opportunity to have been approximately $37 billion in 2020",37000000000.0
0.286009818315506,customer revenue,three-year,$2.8 million,2020,"with respect to new versus existing customers, $36.5 million of the increase in subscriptions revenue stemmed from expanded deployments and corresponding sales of additional subscriptions to existing customers while the remaining increase of $10.9 million was the result of sales of subscriptions to new customers, $2.8 million of which related to a three-year on-premises contract which closed in the first quarter of 2020",2800000.0
0.2156040072441101,r&d value,2020,$12.2 million,2020,"research and development expense increased $12.2 million, or 21.0%, in 2020 compared to 2019, primarily due to a $13.1 million increase in research and development personnel costs, partially offset by a $0.5 million decrease in facility and overhead costs and a $0.3 million decrease in professional fees",12200000.0
0.1089514270424842,customer revenue,"december 31, 2020",$37 billion,2020,"based on approximately 166,000 global companies and government institutions in relevant industries and revenue-based size segments as well as our industry- and size-specific average annual recurring revenue for customers as of december 31, 2020, we internally estimate our market opportunity to have been approximately $37 billion in 2020",37000000000.0
