score,metric,date,value,year,sentence,number
0.8985971212387085,r&d value,"december 31, 2020 of",$8.2 million,2020,"federal research and development tax credit carryforwards as of december 31, 2020 of $8.2 million, net of uncertain tax positions, will expire, if not utilized, beginning in the year 2029.",8199999.999999999
0.8502277731895447,marketable securities,"december 31, 2020",$923.2 million,2020,"as of december 31, 2020, we had cash and cash equivalents of $108.9 million and available-for-sale securities of $923.2 million",923200000.0
0.8372957706451416,r&d value,"december 31, 2020 of",$6.0 million,2020,"the company had state research and development tax credit carryforwards as of december 31, 2020 of $6.0 million, net of uncertain tax positions",6000000.0
0.7592685222625732,cash on balance sheet,"december 31, 2020",$9.3 million,2020,"in addition to the contractual obligations set forth above, as of december 31, 2020, we had $9.3 million recognized as total restricted cash on our consolidated balance sheets which consisted of $6.7 million in letters of credit outstanding in favor of certain landlords for office space and $2.6 million in short-term restricted cash, which primarily consisted of a payment obligation in connection with the acquisition of s2",9300000.0
0.6840644478797913,r&d value,2029,$6.0 million,2029,"uncertain tax positions, that will begin to expire in 2029 and state research and development tax credit carryforwards of $6.0 million, net of uncertain tax positions, that can be carried forward indefinitely.",6000000.0
0.5713803768157959,customer revenue,that year,"7,200",2021,"for example, if we signed a new customer that generated $1,800 of revenue in a quarter, that customer would account for $7,200 of annualized revenue for that year",7200.0
0.5651341080665588,marketable securities,"the year ended december 31, 2020 of","$1,267.0 million",2020,"net cash used in investing activities during the year ended december 31, 2020 of $515.3 million resulted primarily from the purchases of available-for-sale securities of $1,267.0 million, capital expenditures of $56.4 million, the capitalization of internal-use software development costs of $18.6 million and cash paid for acquisitions, net of cash acquired of $13.9 million",1267000000.0
0.5441328287124634,marketable securities,"the year ended december 31, 2018",$145.3 million,2018,"net cash used in investing activities during the year ended december 31, 2018 of $120.8 million resulted primarily from the purchases of available-for-sale securities of $145.3 million, capital expenditures of $25.5 million, and the capitalization of internal-use software development costs of $9.4 million",145300000.0
0.5235763192176819,marketable securities,"the year ended december 31, 2019",$537.4 million,2019,"net cash used in investing activities during the year ended december 31, 2019 of $417.6 million resulted primarily from the purchases of available-for-sale securities of $537.4 million, capital expenditures of $43.3 million, and the capitalization of internal-use software development costs of $14.0 million",537400000.0
0.4686347544193268,r&d value,"the year ended december 31, 2019",$36.2 million,2019,"research and development expenses increased by $36.2 million, or 66%, for the year ended december 31, 2019 compared to the year ended december 31, 2018",36200000.0
0.4466600716114044,r&d value,"the year ended december 31, 2020",$36.5 million,2020,"research and development expenses increased by $36.5 million, or 40%, for the year ended december 31, 2020 compared to the year ended december 31, 2019",36500000.0
0.4281206429004669,total number of customers,"the three months ended december 31, 2020, 2019","111,183",2019,"the number of paying customers was 111,183, 84,154, and 72,823 for the three months ended december 31, 2020, 2019, and 2018, respectively.",111183.0
0.4193185567855835,r&d value,"december 31, 2020",$8.2 million,2020,"also as of december 31, 2020, we had federal research and development tax credit carryforwards of $8.2 million, net of",8199999.999999999
0.3776093423366546,total number of customers,"the three months ended december 31, 2020, 2019",828,2019,"the number of paying customers with annualized revenue greater than $100,000 was 828, 526, and 294 for the three months ended december 31, 2020, 2019, and 2018, respectively",828.0
0.3735789656639099,total number of customers,"december 31, 2020","111,000",2020,"as of december 31, 2020, we had over 111,000 paying customers across more than 170 countries",111000.0
0.355059415102005,marketable securities,may 2020,$575.0 million,2020,"in may 2020, the company issued $575.0 million aggregate principal amount of the notes in a private offering to qualified institutional buyers pursuant to rule 144a promulgated under the securities act, including the initial purchasers' exercise in full of their option to purchase an additional $75.0 million aggregate principal amount of the notes",575000000.0
0.3052851259708404,total number of customers,2018,"72,823",2018,"the number of paying customers was 111,183, 84,154, and 72,823 for the three months ended december 31, 2020, 2019, and 2018, respectively.",72823.0
0.2705362737178802,total number of customers,2018,294,2018,"the number of paying customers with annualized revenue greater than $100,000 was 828, 526, and 294 for the three months ended december 31, 2020, 2019, and 2018, respectively",294.0
0.2641096115112304,customer revenue,a quarter,"1,800",2021,"for example, if we signed a new customer that generated $1,800 of revenue in a quarter, that customer would account for $7,200 of annualized revenue for that year",1800.0
0.1862999349832534,cash on balance sheet,up to 18 months,$2.2 million,2021,"the total purchase consideration included (i) acquisition-date cash payments of $13.7 million, net of $0.1 million of cash acquired, (ii) $1.8 million in shares of the company’s class a common stock, and (iii) a cash holdback of $2.2 million, which the company is retaining for up to 18 months and will be payable to the previous owners of s2, subject to offset by the company for any of the previous owners’ indemnification obligations in connection with the acquisition",2200000.0
