score,metric,date,value,year,sentence,number
0.9059336185455322,marketable securities,2021,$100.2 million,2021,"in 2021, cash used in investing activities of $110.7 million consisted of net purchases of marketable securities of $100.2 million and capital expenditures of $10.5 million, primarily related to purchases of test equipment and computer equipment.",100200000.0
0.8026649355888367,marketable securities,"december 31, 2021",$204.3 million,2021,"as of december 31, 2021, we had cash, cash equivalents and marketable securities of $204.3 million, which was held primarily in cash, money market funds and highly liquid marketable securities such as u.s",204300000.0
0.776926577091217,marketable securities,"december 31, 2021",$204.3 million,2021,"as of december 31, 2021, we had cash, cash equivalents and marketable securities of $204.3 million, which consisted of deposits held at banks and major financial institutions and highly liquid marketable securities such as u.s",204300000.0
0.6629469990730286,r&d value,"december 31, 2021",$3.0 million,2021,"states research and development credits of approximately $37.1 million, $42.1 million and $3.0 million as of december 31, 2021, respectively",3000000.0
0.6315027475357056,r&d value,2021,$16.5 million,2021,"the increase in research and development expenses of $16.5 million during 2021 compared with 2020 was mainly due to increases in outside services expenses of $7.7 million, personnel expenses of $6.7 million, stock-based compensation of $2.0 million and depreciation and amortization of $1.2 million",16500000.0
0.5984052419662476,cash on balance sheet,2019,$0.4 million,2019,"total cash received from employees as a result of stock option exercises in 2021, 2020 and 2019 was $11.2 million, $0.9 million and $0.4 million, respectively.",400000.0
0.5282614827156067,marketable securities,three consecutive years and ended fiscal 2021,$204.3 million,2021,"we generated positive operating cash flow for three consecutive years and ended fiscal 2021 with $204.3 million in cash, cash equivalents and marketable securities",204300000.0
0.4784405827522278,r&d value,"december 31, 2021",$37.1 million,2021,"federal net operating loss and research and development carryforwards (hereinafter, collectively referred to as “carryforward assets”) of $388.2 million and $37.1 million as of december 31, 2021, respectively",37100000.0
0.3469095826148987,cash on balance sheet,2021,$11.2 million,2021,"total cash received from employees as a result of stock option exercises in 2021, 2020 and 2019 was $11.2 million, $0.9 million and $0.4 million, respectively.",11200000.0
0.2227972745895385,support revenue,2021,$36.6 million,2021,"in 2021, cash outflows from changes in operating assets and liabilities primarily consisted of increases in inventory of $36.6 million to support revenue growth and to mitigate supply chain shortages and disruptions; in prepaid expenses and other assets of $27.1 million mainly due to advance payments to our supply chain partners and capitalized sales commissions; and in accounts receivable of $15.8 million due to increased revenue",36600000.0
0.1556230038404464,total number of customers,2021,130,2021,"in 2021, we added 130 bsp customers purchasing directly or through our partners",130.0
