score,metric,date,value,year,sentence,number
0.9145097732543944,r&d value,fiscal 2021,$100.5 million,2021,"research and development expenses were $100.5 million in fiscal 2021 compared to $68.4 million in fiscal 2020, an increase of $32.1 million, or 47%",100500000.0
0.7774525880813599,arr,"january 31, 2021",$4.2 million,2021,"our top 25 customers by average annual recurring revenue as of january 31, 2021, had average annual recurring revenue of approximately $4.2 million, compared to the average annual recurring revenue represented by their initial purchase of approximately $0.4 million",4200000.0
0.7419140338897705,arr,fiscal 2021,$408.2 million,2021,"subscription revenue was $408.2 million, or 91% of total revenue, in fiscal 2021, compared to $307.9 million, or 88% of total revenue, in fiscal 2020",408200000.0
0.6202417016029358,annualized billings,the last day of any fiscal quarter,$350.0 million,2020,"the credit agreement, as amended by the third amendment, includes affirmative and negative covenants, including financial covenants requiring the maintenance of: (1) minimum tangible net worth (defined as assets, excluding intangible assets, less liabilities) as of the last day of any fiscal quarter of not less than $150.0 million for any fiscal quarter ending on or prior to january 31, 2021 and $125.0 million for any fiscal quarter ending thereafter, and (2) minimum billings for the most recent twelve months ending as of the last day of any fiscal quarter of not less than $350.0 million",350000000.0
0.6057019829750061,arpa,annual,$4.2 million,2021,"our top 25 customers by average annual recurring revenue as of january 31, 2021, had average annual recurring revenue of approximately $4.2 million, compared to the average annual recurring revenue represented by their initial purchase of approximately $0.4 million",4200000.0
0.5555981397628784,arr,annual,"250,000",2021,"the number of customers with greater than $250,000 of annual recurring revenue was 453, 353, and 248 as of the end of fiscal 2021, 2020, and 2019, respectively",250000.0
0.5534846186637878,annualized billings,fiscal quarter ending thereafter,$125.0 million,2021,"the credit agreement, as amended by the third amendment, includes affirmative and negative covenants, including financial covenants requiring the maintenance of: (1) minimum tangible net worth (defined as assets, excluding intangible assets, less liabilities) as of the last day of any fiscal quarter of not less than $150.0 million for any fiscal quarter ending on or prior to january 31, 2021 and $125.0 million for any fiscal quarter ending thereafter, and (2) minimum billings for the most recent twelve months ending as of the last day of any fiscal quarter of not less than $350.0 million",125000000.0
0.5523185133934021,cash on balance sheet,fiscal 2020,$33.5 million,2020,"the total cash consideration was $33.5 million, net of cash acquired of $2.7 million, and was fully paid in fiscal 2020.",33500000.0
0.530471682548523,arr,fiscal 2021,$69.8 million,2021,"cost of subscription revenue was $69.8 million in fiscal 2021 compared to $51.5 million in fiscal 2020, an increase of $18.3 million, or 36%",69800000.0
0.5150008201599121,arr,"fiscal 2021, 2020",$408.2 million,2020,"during fiscal 2021, 2020, and 2019, subscription revenue was $408.2 million,",408200000.0
0.5092617869377136,arr,annual,"250,000",2021,"the number of customers with greater than $250,000 of annual recurring revenue was 453, 353 and 248 as of january 31, 2021, 2020 and 2019, respectively",250000.0
0.4839743375778198,sr,2019,$408.2 million,2019,"during fiscal 2021, 2020, and 2019, subscription revenue was $408.2 million,",408200000.0
0.431088238954544,r&d value,fiscal 2020,$68.4 million,2020,"research and development expenses were $100.5 million in fiscal 2021 compared to $68.4 million in fiscal 2020, an increase of $32.1 million, or 47%",68400000.0
0.4192860424518585,total number of customers,"january 31, 2021, 2020 and",248,2020,"the number of customers with greater than $250,000 of annual recurring revenue was 453, 353 and 248 as of january 31, 2021, 2020 and 2019, respectively",248.0
0.4166642725467682,arr,fiscal 2020,$51.5 million,2020,"cost of subscription revenue was $69.8 million in fiscal 2021 compared to $51.5 million in fiscal 2020, an increase of $18.3 million, or 36%",51500000.0
0.4152562022209167,annualized billings,fiscal quarter,less than $350.0 million,2021,"the credit agreement, as amended by the third amendment, includes affirmative and negative covenants, including financial covenants requiring the maintenance of: (1) minimum tangible net worth (defined as assets, excluding intangible assets, less liabilities) as of the last day of any fiscal quarter of not less than $150.0 million for any fiscal quarter ending on or prior to january 31, 2021 and $125.0 million for any fiscal quarter ending thereafter, and (2) minimum billings for the most recent twelve months ending as of the last day of any fiscal quarter of not less than $350.0 million",350000000.0
0.350243479013443,total number of customers,"january 31, 2021","1,600",2021,"as of january 31, 2021, over 1,600 customers were using our platform",1600.0
0.2704909741878509,r&d value,"fiscal 2021, 2020",$0.6 million,2020,"the capitalized stock-based compensation expense relating to research and development expense was $3.5 million, $2.3 million, and $0.6 million during fiscal 2021, 2020, and 2019, respectively.",600000.0
0.2181935459375381,total number of customers,2019,248,2019,"the number of customers with greater than $250,000 of annual recurring revenue was 453, 353, and 248 as of the end of fiscal 2021, 2020, and 2019, respectively",248.0
0.2098757177591323,total number of customers,"january 31, 2021","1,600",2021,"as of january 31, 2021, we served over 1,600 customers in 57 countries.",1600.0
0.1466335356235504,total number of customers,"the end of fiscal 2021, 2020",453,2020,"the number of customers with greater than $250,000 of annual recurring revenue was 453, 353, and 248 as of the end of fiscal 2021, 2020, and 2019, respectively",453.0
