score,metric,date,value,year,sentence,number
0.9256274700164796,arr,fiscal 2021,$3.38 billion,2021,"driving this increase was the increase in subscription revenue across our offerings which grew to $3.38 billion in fiscal 2021 from $2.66 billion in fiscal 2020, representing 27% year-over-year growth",3380000000.0
0.8987205624580383,arr,"november 27, 2020",$10.26 billion,2020,"•total digital media arr of approximately $12.24 billion as of december 3, 2021 increased by $1.98 billion, or 19%, from $10.26 billion as of november 27, 2020",10260000000.0
0.8659582734107971,arr,fiscal 2020,$2.66 billion,2020,"driving this increase was the increase in subscription revenue across our offerings which grew to $3.38 billion in fiscal 2021 from $2.66 billion in fiscal 2020, representing 27% year-over-year growth",2660000000.0
0.8391548991203308,arr,the end of fiscal 2021,$12.24 billion,2021,"total digital media arr grew to $12.24 billion at the end of fiscal 2021, up from $10.26 billion at the end of fiscal 2020",12240000000.0
0.8087927103042603,arr,the end of fiscal 2020,$8.78 billion,2020,"creative arr exiting fiscal 2021 was $10.30 billion, up from $8.78 billion at the end of fiscal 2020",8780000000.0
0.7816112041473389,arr,fiscal 2021,$10.30 billion,2021,"creative arr exiting fiscal 2021 was $10.30 billion, up from $8.78 billion at the end of fiscal 2020",10300000000.0
0.7447245121002197,arr,"december 3, 2021",$12.24 billion,2021,"•total digital media arr of approximately $12.24 billion as of december 3, 2021 increased by $1.98 billion, or 19%, from $10.26 billion as of november 27, 2020",12240000000.0
0.7167738676071167,marketable securities,"december 3, 2021",$1.95 billion,2021,"at december 3, 2021, we had debt securities classified as short-term investments of $1.95 billion",1950000000.0
0.6925023198127747,arr,the end of fiscal 2020,$10.26 billion,2020,"total digital media arr grew to $12.24 billion at the end of fiscal 2021, up from $10.26 billion at the end of fiscal 2020",10260000000.0
0.6890914440155029,arr,the end of fiscal 2020,$1.47 billion,2020,"document cloud arr exiting fiscal 2021 was $1.93 billion, up from $1.47 billion at the end of fiscal 2020",1470000000.0
0.6864233613014221,arr,fiscal 2021,$1.93 billion,2021,"document cloud arr exiting fiscal 2021 was $1.93 billion, up from $1.47 billion at the end of fiscal 2020",1930000000.0
0.482211172580719,arr,the end of fiscal 2021,$12.15 billion,2021,"revaluing our ending arr for fiscal 2021 using currency rates at the beginning of fiscal 2022, our digital media arr at the end of fiscal 2021 would be $12.15 billion or approximately $86 million lower than the arr reported above.",12150000000.0
0.4620868265628814,arr,fiscal 2021,$742 million,2021,"revenue from digital experience increased $742 million during fiscal 2021, as compared to fiscal 2020 primarily due to subscription revenue growth across our offerings including from our workfront acquisition.",742000000.0
0.3159638047218323,cash on balance sheet,"december 3, 2021 and november 27, 2020",$2.06 billion,2021,"as of december 3, 2021 and november 27, 2020, total notional amounts of outstanding cash flow hedges were $2.06 billion and $1.53 billion, respectively, hedging exposures denominated in euros, british pounds, japanese yen and australian dollars.",2060000000.0
