score,metric,date,value,year,sentence,number
0.9576948285102844,total number of customers,2021,75,2021,our number of customers paying us in excess of $1 million of annual recurring revenue has grown from 55 at the end of 2020 to 75 at the end of 2021,75.0
0.8020708560943604,marketable securities,"december 31, 2021",$67.2 million,2021,"in addition, as of december 31, 2021, we held $67.2 million of fixed income securities such as u.s",67200000.0
0.6684527397155762,arr,annual,$1 million,2022,our number of customers paying us in excess of $1 million of annual recurring revenue has grown from 55 at the end of 2020 to 75 at the end of 2021,1000000.0
0.6580677628517151,marketable securities,"december 31, 2021",$55.2 million,2021,"as of december 31, 2021, we had $100.8 million of cash and cash equivalents and $55.2 million of short-term investments and marketable securities",55200000.0
0.5627145767211914,arr,2021,$95.0 million,2021,"our cloud subscription revenue was $179.4 million, $129.2 million, and $95.0 million in 2021, 2020, and 2019, respectively.",95000000.0
0.5627145767211914,sr,2020,$95.0 million,2020,"our cloud subscription revenue was $179.4 million, $129.2 million, and $95.0 million in 2021, 2020, and 2019, respectively.",95000000.0
0.4913899302482605,total number of customers,"december 31, 2021, 2020",783,2020,"our number of customers with active software subscription agreements was 783, 654, and 487 as of december 31, 2021, 2020, and 2019, respectively",783.0
0.4913899302482605,total number of customers,2019,487,2019,"our number of customers with active software subscription agreements was 783, 654, and 487 as of december 31, 2021, 2020, and 2019, respectively",487.0
0.4657970368862152,arr,2021,$49.3 billion,2021,"based on approximately 195,000 global companies and government institutions in relevant industries and revenue-based size segments as well as our industry- and size-specific average annual recurring revenue for customers as of december 31, 2021, we internally estimate our market opportunity to have been approximately $49.3 billion in 2021",49300000000.0
0.4624630510807037,total number of customers,"december 31, 2021",816,2021,"as of december 31, 2021, we had 816 customers in a variety of industries, of which 635 customers were commercial and 181 customers were government or non-commercial entities",816.0
0.4573902189731598,total number of customers,"december 31, 2021",816,2021,"as of december 31, 2021, we had 816 customers, of which 635 customers were commercial and 181 customers were government or non-commercial entities",816.0
0.3300255239009857,total number of customers,the end of 2020 to 75,55,2020,our number of customers paying us in excess of $1 million of annual recurring revenue has grown from 55 at the end of 2020 to 75 at the end of 2021,55.0
0.2328550517559051,r&d value,2021,$27.3 million,2021,"research and development expense increased $27.3 million, or 38.8%, in 2021 compared to 2020, primarily due to a $22.9 million increase in research and development personnel costs, a $3.2 million increase in facility and overhead costs, and a $1.1 million increase in professional fees",27300000.0
0.1111483797430992,customer revenue,"december 31, 2021",$49.3 billion,2021,"based on approximately 195,000 global companies and government institutions in relevant industries and revenue-based size segments as well as our industry- and size-specific average annual recurring revenue for customers as of december 31, 2021, we internally estimate our market opportunity to have been approximately $49.3 billion in 2021",49300000000.0
