score,metric,date,value,year,sentence,number
0.9729881882667542,total number of customers,"december 31, 2020","7,083",2020,"we have increased our number of customers from 4,973 at march 31, 2019 to 7,083 at december 31, 2020",7083.0
0.9305647611618042,arr,the fourth quarter of 2020,$492.6 million,2020,"•ended the fourth quarter of 2020 with annual recurring revenue of $492.6 million, a 32% increase from the fourth quarter of 2019.",492600000.0
0.9075179696083068,total number of customers,"march 31, 2019","4,973",2019,"we have increased our number of customers from 4,973 at march 31, 2019 to 7,083 at december 31, 2020",4973.0
0.6645792722702026,marketable securities,may and june 2018,$230.0 million,2018,"in may and june 2018, we sold $230.0 million aggregate principal amount of our 0.50% convertible senior notes due 2023, or the 2023 notes, including the initial purchasers’ exercise in full of their option to purchase an additional $30.0 million of the 2023 notes, in a private offering to qualified institutional buyers pursuant to rule 144a promulgated under the securities act of 1933, as amended, or the act",230000000.0
0.6171209812164307,total number of customers,"december 31, 2020","7,100",2020,"our customer base has grown from 3,392 customers as of december 31, 2017 to approximately 7,100 customers as of december 31, 2020.",7100.0
0.610550582408905,total number of customers,"december 31, 2017","3,392",2017,"our customer base has grown from 3,392 customers as of december 31, 2017 to approximately 7,100 customers as of december 31, 2020.",3392.0
0.50091952085495,arr,"the year ended december 31, 2020",$237.0 million,2020,"the company recognized subscription-based licenses and pcs and services revenue of $237.0 million and $258.3 million, respectively, for the year ended december 31, 2020",237000000.0
0.3976152539253235,total number of customers,"december 31, 2020","7,100",2020,"as of december 31, 2020, we had approximately 7,100 customers in more than 90 countries, including over 760 of the global 2000 companies",7100.0
0.3780743777751922,marketable securities,"the years ended december 31, 2020, 2019",$5.4 million,2019,"interest income from our marketable securities was $10.5 million, $9.2 million, and $5.4 million for the years ended december 31, 2020, 2019, and 2018, respectively.",5400000.0
0.3221350610256195,annualized billings,the second year,$26.2 million,2020,•an increase in deferred revenue of $26.2 million as a result of billings for the second year of multi-year contracts entered into in 2019.,26200000.0
0.2276697754859924,total number of customers,"january 1, 2018",606,2018,"2014-09, revenue from contracts with customers (topic 606), or asc 606, effective january 1, 2018 on a modified retrospective basis",606.0
0.1161559894680976,marketable securities,"december 31, 2020 and",less than $0.1 million,2020,"we have determined that the gross unrealized losses of less than $0.1 million with respect to our available-for-sale securities as of both december 31, 2020 and 2019 were due to changes in market rates, and we have determined the losses are temporary in nature",100000.0
0.1077176257967948,total number of customers,"december 31, 2020",more than 90,2020,"as of december 31, 2020, we served customers in more than 90 countries, including over 760 of the global 2000 companies",90.0
