score,metric,date,value,year,sentence,number
0.7147796750068665,marketable securities,"december 31, 2021",$139.6 billion,2021,"as of december 31, 2021, we had $139.6 billion in cash, cash equivalents, and short-term marketable securities",139600000000.0
0.6695253252983093,r&d value,"december 31, 2021",$5.0 billion,2021,"as of december 31, 2021, our california r&d carryforwards for income tax purposes were approximately $5.0 billion that can be carried over indefinitely",5000000000.0
0.5798163414001465,marketable securities,"december 31, 2020 and",$1.4 billion,2020,"as of december 31, 2020 and 2021, equity securities accounted for under the equity method had a carrying value of approximately $1.4 billion and $1.5 billion, respectively",1400000000.0
0.5155057311058044,marketable securities,2021,$1.5 billion,2021,"as of december 31, 2020 and 2021, equity securities accounted for under the equity method had a carrying value of approximately $1.4 billion and $1.5 billion, respectively",1500000000.0
0.4873420596122741,marketable securities,"december 31, 2020 and",$5.9 billion,2020,"we record marketable equity securities not accounted for under the equity method at fair value based on readily determinable market values, of which publicly traded stocks and mutual funds are subject to market price volatility, and represent $5.9 billion and $7.8 billion of our investments as of december 31, 2020 and 2021, respectively",5900000000.0
0.4873420596122741,marketable securities,2021,$7.8 billion,2021,"we record marketable equity securities not accounted for under the equity method at fair value based on readily determinable market values, of which publicly traded stocks and mutual funds are subject to market price volatility, and represent $5.9 billion and $7.8 billion of our investments as of december 31, 2020 and 2021, respectively",7800000000.0
0.4788704514503479,marketable securities,"december 31, 2021",$4.7 billion,2021,"as of december 31, 2020 and december 31, 2021, the fair value of these debt securities was $2.0 billion and $4.7 billion, respectively.",4700000000.0
0.4201050400733948,r&d value,the last five years,more than $100 billion,2021,we have invested more than $100 billion in r&d over the last five years,100000000000.0
0.3906019330024719,marketable securities,2021,$1.4 billion,2021,"(2) as of december 31, 2020 and 2021, the long-term portion of marketable equity securities (subject to long-term lock-up restrictions) of $429 million and $1.4 billion, respectively, is included within other non-current assets.",1400000000.0
0.3539384007453918,marketable securities,"the year ended december 31, 2021",$18.6 billion,2021,"during the year ended december 31, 2021, included in the $27.6 billion of non-marketable equity securities held as of the end of the period, $18.6 billion were measured at fair value resulting in a net unrealized gain of $9.8 billion.",18600000000.0
0.2923467457294464,marketable securities,"our december 31, 2021",$780 million,2021,"a hypothetical adverse price change of 10% on our december 31, 2021 balance, which could be experienced in the near term, would decrease the fair value of marketable equity securities by $780 million",780000000.0
0.2731649279594421,marketable securities,"december 31, 2020 and",$429 million,2020,"(2) as of december 31, 2020 and 2021, the long-term portion of marketable equity securities (subject to long-term lock-up restrictions) of $429 million and $1.4 billion, respectively, is included within other non-current assets.",429000000.0
0.2439213544130325,r&d value,2020 to 2021,$4.0 billion,2020,r&d expenses increased $4.0 billion from 2020 to 2021,4000000000.0
0.1847116947174072,marketable securities,"december 31, 2020 and",$2.0 billion,2020,"as of december 31, 2020 and december 31, 2021, the fair value of these debt securities was $2.0 billion and $4.7 billion, respectively.",2000000000.0
0.1804158687591552,cash on balance sheet,"the year ended december 31, 2021",$885 million,2021,"during the year ended december 31, 2021, we completed other acquisitions and purchases of intangible assets for total consideration of approximately $885 million, net of cash acquired, of which the total amount of goodwill expected to be deductible for tax purposes is approximately $118 million",885000000.0
0.1362670809030532,marketable securities,"december 31, 2020 and",$87 million and $,2020,"unrealized net gains (losses) related to debt securities still held where we have elected the fair value option were $87 million and $(35) million as of december 31, 2020 and december 31, 2021, respectively",87000000.0
